bc/prob_true_act,bc/samples_so_far,bc/batch_num,bc/epoch_num,bc/entropy,bc/l2_norm,bc/neglogp,bc/loss,bc/ent_loss,bc/l2_loss
0.03231954947113991,28,1,0,2.837877035140991,35.500099182128906,4.492710590362549,4.489872932434082,-0.002837877254933119,0.0
0.33718058466911316,14028,501,500,2.0051968097686768,44.587921142578125,1.1173136234283447,1.115308403968811,-0.002005196874961257,0.0
0.8384209275245667,28028,1001,1000,1.0514724254608154,55.76417922973633,0.29966965317726135,0.2986181676387787,-0.0010514724999666214,0.0
2.244847297668457,42028,1501,1500,0.11863960325717926,109.46368408203125,-0.676205575466156,-0.676324188709259,-0.00011863961117342114,0.0
7.030796051025391,56028,2001,2000,-0.956758439540863,187.18807983398438,-1.9498937129974365,-1.948936939239502,0.000956758507527411,0.0
21.733736038208008,70028,2501,2500,-2.0819129943847656,195.13748168945312,-3.0788350105285645,-3.0767531394958496,0.002081913175061345,0.0
61.08061599731445,84028,3001,3000,-3.1388297080993652,198.12623596191406,-4.109048366546631,-4.10590934753418,0.003138829953968525,0.0
162.81884765625,98028,3501,3500,-4.149648189544678,201.81822204589844,-5.065684795379639,-5.061535358428955,0.0041496483609080315,0.0
430.08660888671875,112028,4001,4000,-5.1062235832214355,205.7147979736328,-6.055427551269531,-6.050321102142334,0.005106223747134209,0.0
873.2227172851562,126028,4501,4500,-5.94775915145874,209.73345947265625,-5.960840702056885,-5.954893112182617,0.005947759374976158,0.0
1782.6405029296875,140028,5001,5000,-6.498218059539795,212.315673828125,-7.484921455383301,-7.478423118591309,0.006498218514025211,0.0
2900.249755859375,154028,5501,5500,-6.983948230743408,215.2967071533203,-7.972136974334717,-7.965153217315674,0.006983948405832052,0.0
3136.609130859375,168028,6001,6000,-7.195276737213135,216.4441680908203,-7.700075626373291,-7.692880153656006,0.007195277139544487,0.0
5067.1865234375,182028,6501,6500,-7.534241199493408,218.6646270751953,-8.530524253845215,-8.522990226745605,0.007534241769462824,0.0
5500.62158203125,196028,7001,7000,-7.616221904754639,219.44493103027344,-8.612600326538086,-8.604984283447266,0.007616222370415926,0.0
5799.8203125,210028,7501,7500,-7.744786262512207,220.35671997070312,-8.590215682983398,-8.582470893859863,0.00774478679522872,0.0
6985.3291015625,224028,8001,8000,-7.855952262878418,221.1917266845703,-8.851550102233887,-8.843693733215332,0.007855952717363834,0.0
7312.63720703125,238028,8501,8500,-7.939210414886475,221.7322540283203,-8.877060890197754,-8.869121551513672,0.007939211092889309,0.0
8509.859375,252028,9001,9000,-8.055882453918457,222.77503967285156,-9.04891586303711,-9.040860176086426,0.008055882528424263,0.0
9361.1640625,266028,9501,9500,-8.148248672485352,223.486083984375,-9.144307136535645,-9.13615894317627,0.008148249238729477,0.0
