bc/prob_true_act,bc/samples_so_far,bc/loss,bc/epoch_num,bc/entropy,bc/batch_num,bc/l2_norm,bc/l2_loss,bc/ent_loss,bc/neglogp
0.0322083979845047,28,4.4915924072265625,0,2.837877035140991,1,64.5000991821289,0.0,-0.002837877254933119,4.494430065155029
0.40553799271583557,14028,0.9007161259651184,500,1.8990923166275024,501,74.1943359375,0.0,-0.0018990924581885338,0.9026151895523071
1.1458494663238525,28028,-0.1370098739862442,1000,0.8636468648910522,1001,76.9999771118164,0.0,-0.0008636469137854874,-0.13614623248577118
3.1498324871063232,42028,-1.1472017765045166,1500,-0.14743123948574066,1501,80.34648132324219,0.0,0.00014743124484084547,-1.147349238395691
8.650628089904785,56028,-2.1564741134643555,2000,-1.1576958894729614,2001,82.22361755371094,0.0,0.0011576958931982517,-2.1576318740844727
23.62289810180664,70028,-3.1600537300109863,2500,-2.162811517715454,2501,84.7742691040039,0.0,0.002162811579182744,-3.1622164249420166
64.17823028564453,84028,-4.158498287200928,3000,-3.1642870903015137,3001,88.49380493164062,0.0,0.0031642871908843517,-4.161662578582764
174.60951232910156,98028,-5.158389091491699,3500,-4.163348197937012,3501,93.11528015136719,0.0,0.0041633485816419125,-5.162552356719971
471.63153076171875,112028,-6.151041030883789,4000,-5.157200336456299,4001,98.87364196777344,0.0,0.0051572006195783615,-6.156198024749756
1149.866455078125,126028,-7.040894031524658,4500,-6.140372276306152,4501,105.48384094238281,0.0,0.0061403727158904076,-7.04703426361084
3193.849365234375,140028,-8.061867713928223,5000,-7.098353385925293,5001,112.71920776367188,0.0,0.007098353933542967,-8.068965911865234
1752.4066162109375,154028,-6.749091148376465,5500,-6.910339832305908,5501,131.32107543945312,0.0,0.006910339929163456,-6.7560014724731445
2661.36181640625,168028,-7.87738037109375,6000,-6.919158935546875,6001,132.1517333984375,0.0,0.006919159088283777,-7.8842997550964355
2742.404296875,182028,-7.908928394317627,6500,-6.933018207550049,6501,132.36737060546875,0.0,0.0069330185651779175,-7.9158616065979
2808.473388671875,196028,-7.9331135749816895,7000,-6.950998783111572,7001,132.51170349121094,0.0,0.006950999144464731,-7.940064430236816
2883.579345703125,210028,-7.959644794464111,7500,-6.9742021560668945,7501,132.6725616455078,0.0,0.0069742025807499886,-7.96661901473999
2974.591552734375,224028,-7.990753173828125,8000,-7.003987789154053,8001,132.85903930664062,0.0,0.007003988139331341,-7.9977569580078125
3095.99169921875,238028,-8.030755996704102,8500,-7.042238712310791,8501,133.09158325195312,0.0,0.00704223895445466,-8.037797927856445
3253.69775390625,252028,-8.080414772033691,9000,-7.091089725494385,9001,133.36383056640625,0.0,0.007091090083122253,-8.087506294250488
3439.236328125,266028,-8.13573169708252,9500,-7.152695178985596,9501,133.69351196289062,0.0,0.007152695674449205,-8.142884254455566
